Run Number ,l2,v1,ax,ax uncertainty ,Quadratic fit (a),Quadratic fit (a) Uncertainty 
1,0.621,-0.21,0.0372,0.0013,0.0206,0.000061
2,0.785,-0.28,0.0403,0.0006,,
3,0.582,-0.21,0.0402,0.00097,,
4,0.857,-0.26,0.0413,0.0007,,
5,0.749,-0.25,0.0411,0.00079,0.0194,0.000077
