Run Number ,l2,v1,ax,ax uncertainty ,Quadratic fit (a),Quadratic fit (a) Uncertainty 
1,0.478,-0.27,0.066,0.0013,0.0337,0.000073
2,0.515,-0.35,0.0662,0.00089,,
3,0.573,-0.33,0.0642,0.0012,,
4,0.62,-0.28,0.0671,0.0016,,
5,0.635,-0.29,0.0681,0.0022,,
