Run Number ,l2,v1,ax,ax uncertainty ,Quadratic fit (a),Quadratic fit (a) Uncertainty 
1,0.76,-0.19,0.03,0.0013,0.0147,0.000061
2,0.746,-0.18,0.0305,0.00073,,
3,0.823,-0.18,0.03,0.00037,,
4,0.895,-0.22,0.024,0.00065,,
5,0.692,-0.18,0.0269,0.00029,,
6,0.759,-0.18,0.027,0.0011,,
